AQW00061705       11343C
USC00318694        2952S
USC00318744        4766S
USC00318964        5143S
USC00319026        5483Q
USC00319081        5042R
USC00319100        5596Q
USC00319123        4393C
USC00319147        3571S
USC00319357        5467R
USC00319423        5723S
USC00319440        5064S
USC00319461        5832Q
USC00319467        5703S
USC00319476        5247S
USC00319555        4432S
USC00319675        4370S
USC00319704        4711R
USC00320127        2726R
USC00320209        2710R
USC00320382        2576S
USC00320590        2568R
USC00320626        2008R
USC00320766        2793R
USC00320767        2496Q
USC00320817        2527Q
USC00320941        2228S
USC00320961        2199R
USC00320995        2457S
USC00321052        2799R
USC00321225        2532R
USC00321360        2275R
USC00321362        2512R
USC00321370        2506R
USC00321408        2622R
USC00321435        2166S
USC00321456        2647R
USC00321686        2557R
USC00321766        2334S
USC00321871        2426C
USC00322188        2472S
USC00322193        2486S
USC00322304        2418S
USC00322365        2577R
USC00322482        2532R
USC00322525        2137S
USC00322536        2748R
USC00322605        2766R
USC00322695        2751R
USC00322809        2567S
USC00322949        2545R
USC00323004        2544R
USC00323117        2692S
USC00323196        2152S
USC00323207        2873R
USC00323217        2489R
USC00323287        2682S
USC00323309        2607R
USC00323376        2362S
USC00323594        2674R
USC00323621        2508R
USC00323686        2607R
USC00323705        2470R
USC00323908        2692R
USC00323963        2367S
USC00324013        2417R
USC00324083        2414R
USC00324091        2609R
USC00324102        2419R
USC00324178        2485R
USC00324180        2634Q
USC00324203        2549R
USC00324343        2193R
USC00324418        2503S
USC00324571        2655S
USC00324646        2279S
USC00324722        2537R
USC00324937        2774S
USC00324958        1997S
USC00325013        2359R
USC00325078        2270R
USC00325186        2758Q
USC00325210        2708R
USC00325211        2632Q
USC00325220        2773R
USC00325479        2575S
USC00325638        2411R
USC00325660        2490R
USC00325710        2723S
USC00325730        2455S
USC00325754        2829S
USC00325764        2431R
USC00325813        2740R
USC00325848        2234R
USC00325993        2316S
USC00326015        2855R
USC00326025        2227R
USC00326155        2611S
USC00326255        2509S
USC00326315        2612S
USC00326365        2456S
USC00326620        2594R
USC00326857        2621R
USC00327027        2260S
USC00327047        2581R
USC00327281        2176R
USC00327311        2705S
USC00327530        2635C
USC00327585        2436Q
USC00327655        2235Q
USC00327664        1826S
USC00327704        2355S
USC00327986        2296R
USC00328276        2158S
USC00328366        2566R
USC00328415        2431R
USC00328660        2612Q
USC00328737        2572R
USC00328792        2393S
USC00328812        2597S
USC00328840        2450S
USC00328850        2536R
USC00328853        2205R
USC00328872        2473S
USC00328913        2342C
USC00328937        2474S
USC00328990        2376R
USC00329100        2822R
USC00329195        2584S
USC00329233        2475R
USC00329246        2793S
USC00329333        2502S
USC00329400        2180S
USC00329430        2810S
USC00329445        2197S
USC00329455        2340R
USC00329515        2359R
USC00330061        3398R
USC00330256        3116R
USC00330264        2963R
USC00330279        3541R
USC00330430        3330R
USC00330563        3366S
USC00330676        3686R
USC00330862        3224S
USC00331042        3202Q
USC00331072        3177S
USC00331152        3063R
USC00331175        3428Q
USC00331197        3774S
USC00331245        2896R
USC00331288        3642R
USC00331390        3526S
USC00331404        3362S
USC00331458        2754C
USC00331515        3860R
USC00331528        3808R
USC00331536        3983S
USC00331541        3036S
USC00331550        3988S
USC00331592        3715S
USC00331783        3807R
USC00331890        3453S
USC00331905        3397S
USC00332044        3124C
USC00332067        4001S
USC00332098        3320S
USC00332119        3563R
USC00332160        3247R
USC00332251        2892S
USC00332485        3587S
USC00332599        3561S
USC00332651        3994R
USC00332791        3496S
USC00332928        3733R
USC00332956        3033R
USC00332974        3342R
USC00332976        3376R
USC00333021        3227Q
USC00333029        4638S
USC00333375        3368S
USC00333500        3546S
USC00333722        3242R
USC00333758        3567S
USC00333780        2797S
USC00333874        3478S
USC00333987        3767R
USC00334004        3658R
USC00334189        3442S
USC00334260        3076R
USC00334383        3349R
USC00334403        3807R
USC00334551        3425S
USC00334672        3469R
USC00334681        3445R
USC00334874        3120S
USC00334927        3749S
USC00334942        3264S
USC00334979        3605S
USC00335041        3555S
USC00335188        3915Q
USC00335268        3906R
USC00335297        3195R
USC00335315        3024S
USC00335356        3531R
USC00335438        3097S
USC00335669        3289R
USC00335747        3363S
USC00335857        3367S
USC00335894        3365R
USC00335939        3691R
USC00336118        3219R
USC00336196        3133S
USC00336389        3285R
USC00336405        3345S
USC00336465        3186S
USC00336600        3736S
USC00336650        3692Q
USC00336781        4043S
USC00336882        3238R
USC00337120        3567R
USC00337559        3470Q
USC00337693        3395S
USC00337857        4173R
USC00337935        3450S
USC00338025        3463S
USC00338313        3365S
USC00338366        3550R
USC00338534        3358S
USC00338552        3386S
USC00338609        3453S
USC00338769        2976C
USC00338794        3642R
USC00338810        3728R
USC00338822        3110S
USC00338830        3898S
USC00338951        3804S
USC00339219        3545S
USC00339299        3344Q
USC00339312        3187S
USC00339361        3755R
USC00340010        5127Q
USC00340017        5414S
USC00340028        4681Q
USC00340179        5436S
USC00340184        5466S
USC00340193        4677R
USC00340224        5044S
USC00340256        5356R
USC00340292        5873R
USC00340332        4442R
USC00340391        5379Q
USC00340535        5049R
USC00340546        4869Q
USC00340567        4729R
USC00340593        4567S
USC00340755        4813S
USC00340782        5083R
USC00340818        4792R
USC00340830        5145S
USC00340908        4410S
USC00340980        5418R
USC00341144        4960S
USC00341162        5378Q
USC00341168        5408R
USC00341243        4749R
USC00341445        4857R
USC00341504        5141R
USC00341648        5234Q
USC00341684        5259R
USC00341706        5356R
USC00341724        4973S
USC00341745        5377S
USC00341750        5506S
USC00341828        4939S
USC00341902        5215R
USC00341909        4947R
USC00342011        5383Q
USC00342318        5115S
USC00342660        5416S
USC00342678        5561R
USC00342818        4921R
USC00342849        4903R
USC00342912        4970S
USC00342944        4924S
USC00342993        5620R
USC00343286        5395Q
USC00343304        4636S
USC00343353        5395R
USC00343358        4729R
USC00343489        4657S
USC00343497        4966R
USC00343628        4473S
USC00343740        4858S
USC00343821        5106S
USC00343871        4785R
USC00343884        5398R
USC00344001        5298R
USC00344019        4783S
USC00344055        4772S
USC00344098        4994Q
USC00344235        5216R
USC00344249        5300S
USC00344298        4612R
USC00344384        5337R
USC00344393        4757Q
USC00344451        5343R
USC00344567        4844R
USC00344573        4689S
USC00344672        5101S
USC00344766        4604R
USC00344812        4914R
USC00344861        5097S
USC00344975        5075R
USC00345063        5391R
USC00345216        5219R
USC00345468        5688S
USC00345509        5299S
USC00345522        5306S
USC00345563        5529S
USC00345693        5666S
USC00345713        5560R
USC00345779        5117S
USC00345855        4888R
USC00346130        5211S
USC00346139        4743S
USC00346278        4633S
USC00346386        5172R
USC00346485        5225R
USC00346629        5096S
USC00346638        5553S
USC00346670        5222R
USC00346729        4946Q
USC00346926        5380R
USC00346935        5145S
USC00347012        5126R
USC00347080        5484Q
USC00347254        5323R
USC00347309        4911R
USC00347327        5182R
USC00347390        5040R
USC00347579        4745R
USC00347862        5221S
USC00348042        5468S
USC00348285        4871R
USC00348380        5323S
USC00348501        5018S
USC00348506        4721R
USC00348677        5104R
USC00348708        4874S
USC00348769        5003Q
USC00349017        4563R
USC00349023        5295S
USC00349101        4829Q
USC00349203        4956R
USC00349247        5380R
USC00349278        5445R
USC00349364        4852S
USC00349395        5921S
USC00349404        4951S
USC00349422        5001S
USC00349445        5026R
USC00349629        5358S
USC00349634        5374R
USC00349724        5206Q
USC00350036        2920Q
USC00350118        2648R
USC00350145        2096Q
USC00350189        3062R
USC00350197        2520S
USC00350265        3452R
USC00350304        3113S
USC00350356        2042R
USC00350471        2182S
USC00350501        2607S
USC00350595        2914R
USC00350652        2409R
USC00350694        2339S
USC00350699        2367R
USC00350723        2967R
USC00350856        2557R
USC00350858        3435S
USC00350897        2782S
USC00351055        2316R
USC00351058        2273Q
USC00351067        2196S
USC00351174        3245R
USC00351433        2346S
USC00351448        3689S
USC00351546        2255R
USC00351574        2541S
USC00351643        2258S
USC00351682        2163S
USC00351765        2476S
USC00351836        2546S
USC00351862        2700S
USC00351877        2646R
USC00351897        2789R
USC00351902        2572S
USC00351914        2684Q
USC00351926        2508R
USC00351946        1151S
USC00352112        2748R
USC00352135        2586R
USC00352173        3280R
USC00352292        2414S
USC00352374        2565S
USC00352406        3050S
USC00352415        2764S
USC00352440        3021S
USC00352597        2618R
USC00352632        3066Q
USC00352633        3149R
USC00352675        1983R
USC00352678        2451R
USC00352693        2711S
USC00352800        2414Q
USC00352805        2693R
USC00352867        2920Q
USC00352876        3035R
USC00352973        1969Q
USC00352997        2685S
USC00353014        1894R
USC00353038        2979R
USC00353047        2768S
USC00353095        2457R
USC00353193        2153R
USC00353232        2515Q
USC00353356        2223R
USC00353402        1262S
USC00353445        3297R
USC00353542        2415R
USC00353604        2838S
USC00353692        2283R
USC00353770        2297S
USC00353818        3313R
USC00353827        2891S
USC00353847        3315R
USC00353908        3069R
USC00353995        1646R
USC00354003        2725S
USC00354060        2107S
USC00354098        3514R
USC00354126        2794S
USC00354133        3306R
USC00354175        2607R
USC00354291        2808S
USC00354329        2196R
USC00354411        2663R
USC00354506        3069R
USC00354606        2523S
USC00354622        2621S
USC00354670        2528S
USC00354721        2514R
USC00354732        2152R
USC00354776        1353S
USC00354811        2772S
USC00354819        3013Q
USC00354835        2273R
USC00355020        2464R
USC00355050        2559R
USC00355055        3167S
USC00355139        2653R
USC00355142        2702S
USC00355160        3242S
USC00355162        2493R
USC00355174        2535R
USC00355204        2524Q
USC00355221        2185S
USC00355258        2251R
USC00355335        3115R
USC00355362        2772Q
USC00355384        2818S
USC00355392        3283Q
USC00355424        3108R
USC00355515        2518R
USC00355545        2801R
USC00355593        3458S
USC00355638        2525R
USC00355641        2959R
USC00355681        2811Q
USC00355711        3189Q
USC00355734        2572S
USC00355945        2952Q
USC00356151        2826R
USC00356179        3301R
USC00356213        2527S
USC00356243        2266R
USC00356252        1578R
USC00356302        2708R
USC00356334        3155S
USC00356366        1988S
USC00356405        3210S
USC00356426        2747R
USC00356466        2468R
USC00356500        2720R
USC00356532        3148S
USC00356540        2956S
USC00356541        3334R
USC00356550        3120Q
USC00356634        3191S
USC00356655        2848R
USC00356749        2857R
USC00356750        2843R
USC00356784        1964S
USC00356820        3104R
USC00356853        2818R
USC00356883        2751R
USC00356907        3088S
USC00357160        3081R
USC00357169        3232S
USC00357208        3037R
USC00357277        2825S
USC00357310        3144R
USC00357331        3405S
USC00357391        3396R
USC00357466        2519R
USC00357554        1758R
USC00357631        1839R
USC00357641        1632R
USC00357675        2042S
USC00357736        2728R
USC00357809        1742R
USC00357817        2504R
USC00357823        2614S
USC00357857        2481R
USC00358007        2530R
USC00358029        2437R
USC00358095        2634S
USC00358173        2918S
USC00358246        2232R
USC00358407        3356R
USC00358420        2573R
USC00358466        2187S
USC00358481        3268R
USC00358494        2078S
USC00358498        1887Q
USC00358536        2544S
USC00358726        2355R
USC00358746        2569S
USC00358797        3279R
USC00358812        2590R
USC00358884        2111S
USC00358997        2628S
USC00359176        3120R
USC00359290        2992R
USC00359316        2215S
USC00359461        3007R
USC00359588        1624Q
USC00360132        3037Q
USC00360140        2924S
USC00360147        3039Q
USC00360409        2549Q
USC00360457        3029Q
USC00360560        3149Q
USC00360582        2666Q
USC00360656        3532S
USC00360763        3284R
USC00360785        3317R
USC00360868        2428R
USC00361004        2752R
USC00361080        3236R
USC00361139        2990R
USC00361212        2631S
USC00361301        2804Q
USC00361350        2628S
USC00361354        3540S
USC00361362        2380Q
USC00361480        2617Q
USC00361485        2779S
USC00361526        2236Q
USC00361534        2642R
USC00361591        3482R
USC00361705        3088S
USC00361719        2787R
USC00361790        2845R
USC00361802        2575Q
USC00361810        2210Q
USC00361838        2704R
USC00361920        3499Q
USC00362071        3215R
USC00362108        3293R
USC00362183        2901R
USC00362190        3638S
USC00362323        2492Q
USC00362470        2828S
USC00362537        3606R
USC00362574        3511Q
USC00362629        2916S
USC00362721        3123R
USC00362942        3142R
USC00363018        2645R
USC00363028        2954S
USC00363295        2815R
USC00363311        2451Q
USC00363437        3367R
USC00363451        3455R
USC00363488        4004R
USC00363526        2913R
USC00363632        3718R
USC00363662        3571R
USC00363665        3558R
USC00363698        3430R
USC00363758        2656S
USC00364019        3596R
USC00364076        3378R
USC00364159        3099Q
USC00364214        3136S
USC00364325        2758S
USC00364385        3691R
USC00364432        2372S
USC00364763        3588S
USC00364778        3663S
USC00364815        2392R
USC00364836        3051R
USC00364839        2251Q
USC00364853        3179R
USC00364896        3305S
USC00364976        3209R
USC00364992        3361S
USC00365050        2789R
USC00365109        3221S
USC00365212        3516Q
USC00365390        4098S
USC00365470        2915R
USC00365573        3462R
USC00365606        2879R
USC00365651        3019R
USC00365686        2701Q
USC00365790        2833Q
USC00365817        2916R
USC00365902        3439S
USC00365915        2432R
USC00366022        2712Q
USC00366042        3150R
USC00366194        3690S
USC00366233        3256S
USC00366238        3720R
USC00366297        3447R
USC00366370        3937R
USC00366508        3503R
USC00366649        2450Q
USC00366689        3440R
USC00366886        4314R
USC00366921        2683R
USC00366927        3664R
USC00367029        2190S
USC00367073        3737Q
USC00367103        2478Q
USC00367167        2812R
USC00367229        2990S
USC00367312        3369S
USC00367322        3706S
USC00367338        3308R
USC00367409        3132S
USC00367477        2586S
USC00367578        3190R
USC00367732        3763Q
USC00367782        3320R
USC00367931        3239C
USC00367938        3359R
USC00368011        3117R
USC00368073        3625S
USC00368184        3105S
USC00368308        2987Q
USC00368361        2679R
USC00368400        3296R
USC00368449        3126S
USC00368469        3030S
USC00368560        2643R
USC00368596        3133R
USC00368668        3150Q
USC00368868        2722R
USC00368873        2774R
USC00368888        2720S
USC00368905        2908S
USC00369050        3440S
USC00369103        3760R
USC00369298        2845S
USC00369318        3043R
USC00369367        3351R
USC00369408        2388R
USC00369464        3602R
USC00369735        3419R
USC00369933        3867S
USC00374266        3187S
USC00375215        2902R
USC00375270        2746S
USC00377581        3200R
USC00379423        3046Q
USC00380074        5827S
USC00380126        5909S
USC00380165        5398S
USC00380184        5835S
USC00380448        6125S
USC00380490        5733Q
USC00380559        6640R
USC00380635        5264Q
USC00380736        5495R
USC00380764        5919R
USC00381093        6343S
USC00381241        5762R
USC00381256        3329R
USC00381277        5362S
USC00381310        5249R
USC00381479        5245R
USC00381588        5364S
USC00381625        4872R
USC00381633        5184S
USC00381645        5549R
USC00381726        5913S
USC00381770        5055R
USC00381944        6430S
USC00381997        6009R
USC00382260        5701R
USC00382386        5466R
USC00382730        6478R
USC00382735        6424Q
USC00382757        5624Q
USC00383111        5792S
USC00383468        6073R
USC00383470        5991Q
USC00383730        5607Q
USC00383754        5401S
USC00383906        6170R
USC00383990        5456R
USC00384111        5706Q
USC00384169        6428R
USC00384581        3500Q
USC00384607        5235R
USC00384690        5078R
USC00384753        5851R
USC00384886        5926R
USC00385017        5257S
USC00385200        5198S
USC00385278        4430R
USC00385290        5275Q
USC00385306        5428R
USC00385493        5914R
USC00385509        5631R
USC00385628        5883R
USC00385633        5551S
USC00385658        5432Q
USC00385660        5450Q
USC00385946        5996R
USC00386114        5508Q
USC00386153        5570R
USC00386209        5500R
USC00386293        4783C
USC00386527        5659S
USC00386616        5482R
USC00386688        5546R
USC00386775        5386R
USC00386831        4959S
USC00386893        5905R
USC00387281        6049R
USC00387288        5838Q
USC00387589        4594R
USC00387631        5445S
USC00387666        5680S
USC00387683        5935Q
USC00387687        4968Q
USC00387722        5383C
USC00387885        5011R
USC00388188        5278R
USC00388405        6323R
USC00388426        6051R
USC00388440        5477S
USC00388472        4680Q
USC00388786        5211R
USC00388887        4920S
USC00388922        5977R
USC00389039        6057R
USC00389122        5112S
USC00389327        5466S
USC00389350        5519S
USC00389469        6054R
USC00389625        5033Q
USC00390043        3106S
USC00390120        2770Q
USC00390128        3412S
USC00390223        2677R
USC00390236        3115S
USC00390281        2894R
USC00390296        3478R
USC00390422        2636R
USC00390554        3069R
USC00390559        3183R
USC00390565        2752R
USC00390701        2904S
USC00390778        3168R
USC00391032        3048S
USC00391049        3055C
USC00391076        2653C
USC00391294        2822S
USC00391392        3212R
USC00391519        2600S
USC00391539        3350R
USC00391579        3144S
USC00391621        3162S
USC00391739        2665S
USC00391777        2614S
USC00391873        2741S
USC00391917        2845R
USC00391972        3149S
USC00392087        2242R
USC00392207        2487R
USC00392209        2588Q
USC00392231        1739R
USC00392302        2897S
USC00392429        2957S
USC00392446        2981S
USC00392557        3236S
USC00392565        2685R
USC00392647        3053R
USC00392797        2757S
USC00392822        3093Q
USC00392852        2985S
USC00392927        2934S
USC00392984        2686S
USC00393029        3245S
USC00393069        3066S
USC00393076        3435R
USC00393217        3033S
USC00393294        2671R
USC00393302        2972Q
USC00393316        2715R
USC00393452        3134S
USC00393574        3122R
USC00393608        2951R
USC00393764        2981Q
USC00393832        3041S
USC00393838        2781S
USC00393857        2973R
USC00393868        2504R
USC00393945        2756Q
USC00394007        3257C
USC00394037        2848R
USC00394184        3610S
USC00394206        2764S
USC00394343        2523R
USC00394516        3418S
USC00394596        3142C
USC00394671        2507Q
USC00394766        3231R
USC00394834        2222S
USC00394864        2847S
USC00394891        2606R
USC00394956        2487Q
USC00394983        3319S
USC00395048        2611R
USC00395090        2838R
USC00395154        3138R
USC00395228        3082R
USC00395281        3058R
USC00395285        2556R
USC00395325        2961S
USC00395360        2829Q
USC00395381        2863S
USC00395406        2750R
USC00395456        2825S
USC00395481        3434C
USC00395506        3261S
USC00395536        2814R
USC00395544        3122S
USC00395561        2939S
USC00395620        3106S
USC00395638        3055S
USC00395648        3012Q
USC00395669        3291Q
USC00395671        3160R
USC00395691        2940R
USC00395738        2932R
USC00395870        2334S
USC00395891        3205S
USC00396054        2887S
USC00396170        3209R
USC00396212        3134S
USC00396227        3200R
USC00396292        3006S
USC00396304        3149R
USC00396427        2047S
USC00396574        3415S
USC00396636        3028R
USC00396712        2927C
USC00396736        3187S
USC00396790        3046R
USC00396907        2734R
USC00396947        2782S
USC00396948        2927R
USC00397052        2910R
USC00397062        2711S
USC00397073        2781R
USC00397227        1965R
USC00397277        2613R
USC00397326        2640Q
USC00397418        2824Q
USC00397545        2799S
USC00397569        2770Q
USC00397742        2801S
USC00397882        3244S
USC00397992        2928S
USC00398116        2614S
USC00398307        2931C
USC00398420        2756Q
USC00398472        3297C
USC00398528        2856R
USC00398622        3558S
USC00398652        2644R
USC00398767        3571C
USC00398911        3274R
USC00398930        2688Q
USC00398980        2836S
USC00399004        2660S
USC00399042        3016R
USC00399070        3192S
USC00399232        3092S
USC00399337        2689Q
USC00399347        2841R
USC00399355        2768Q
USC00399367        3369S
USC00399442        3220R
USC00399537        2854R
USC00400049        4894Q
USC00400081        3774S
USC00400137        5133S
USC00400284        4611S
USC00400669        4436R
USC00400705        5002R
USC00400876        4983C
USC00401039        4587Q
USC00401145        5189S
USC00401310        4380R
USC00401352        4893R
USC00401480        4807S
USC00401561        4560R
USC00401585        4413Q
USC00401587        4971R
USC00401640        4508Q
USC00401663        4669R
USC00401720        4497Q
USC00401790        4945S
USC00401795        4699Q
USC00401808        4819S
USC00401887        3954R
USC00401950        5141R
USC00401957        4702S
USC00402009        4463S
USC00402024        4418R
USC00402108        4960C
USC00402202        3952S
USC00402360        4668S
USC00402388        4486R
USC00402489        4696S
USC00402589        4697S
USC00402600        4739S
USC00402711        4796Q
USC00402806        4190S
USC00402934        4312R
USC00402989        4641Q
USC00403040        4063R
USC00403074        5101S
USC00403280        4864S
USC00403370        4688R
USC00403420        4313S
USC00403447        5422R
USC00403465        4587Q
USC00403636        4435Q
USC00403679        4470S
USC00403938        4662R
USC00404033        4657Q
USC00404223        4728R
USC00404417        4891S
USC00404561        5155S
USC00404568        5031Q
USC00404590        4014Q
USC00404613        4237R
USC00404858        4502S
USC00404871        4676R
USC00404876        4797S
USC00404946        4613S
USC00404987        4827S
USC00405035        4838R
USC00405040        4088R
USC00405089        4703S
USC00405108        4798R
USC00405118        4710Q
USC00405158        4878S
USC00405187        4679S
USC00405210        4948R
USC00405214        4778Q
USC00405278        4778R
USC00405332        4467S
USC00405358        4766R
USC00405431        4376R
USC00405525        4664Q
USC00405595        4523R
USC00405681        4892S
USC00405882        5000S
USC00405956        5274R
USC00405966        5322Q
USC00406012        4918R
USC00406162        4129R
USC00406170        4170R
USC00406180        4307Q
USC00406271        4475R
USC00406272        4384R
USC00406274        5439R
USC00406292        3664R
USC00406308        4751Q
USC00406328        1214R
USC00406330        4937Q
USC00406340        4944R
USC00406371        4807S
USC00406435        4855S
USC00406471        4831R
USC00406493        4297R
USC00406534        4624S
USC00406619        4275S
USC00406806        4684R
USC00406829        4066R
USC00406977        4652S
USC00407015        5076R
USC00407141        4135Q
USC00407184        4672S
USC00407359        4654S
USC00407459        4784S
USC00407710        4960R
USC00407808        4638Q
USC00407834        4436R
USC00407884        4225R
USC00408065        4733R
USC00408108        5271R
USC00408160        5097S
USC00408179        4747R
USC00408184        4506R
USC00408246        4934S
USC00408405        4412S
USC00408414        4617R
USC00408445        3968R
USC00408522        4764R
USC00408540        4509Q
USC00408562        4631S
USC00408868        4206S
USC00408886        4802Q
USC00408916        4595R
USC00408953        4723Q
USC00409065        3994R
USC00409155        4671S
USC00409219        4666S
USC00409431        4642Q
USC00409434        4328Q
USC00409481        4714Q
USC00409492        4820R
USC00409493        4725Q
USC00409502        4666S
USC00409691        4760Q
USC00409709        4564Q
USC00409800        4694R
USC00409866        4737S
USC00410012        4877Q
USC00410013        5906Q
USC00410040        6211R
USC00410120        5839R
USC00410144        7898R
USC00410174        5429R
USC00410204        6900R
USC00410206        5645Q
USC00410225        7158S
USC00410235        6908S
USC00410248        5876R
USC00410257        7391S
USC00410268        6039R
USC00410305        7566R
USC00410313        5871S
USC00410337        6230R
USC00410345        7886Q
USC00410394        5732S
USC00410404        6135S
USC00410408        5852R
USC00410431        6569Q
USC00410433        6526Q
USC00410482        6341S
USC00410493        6194S
USC00410498        5908S
USC00410518        6240S
USC00410569        7525R
USC00410586        7205R
USC00410611        6983Q
USC00410613        7013R
USC00410639        7431S
USC00410655        6751Q
USC00410665        6366R
USC00410690        7724R
USC00410691        6097R
USC00410764        6009R
USC00410779        5884R
USC00410805        7785R
USC00410832        6245S
USC00410902        6379S
USC00410923        5559R
USC00410926        5634Q
USC00410950        7155R
USC00410958        4980S
USC00410984        5569R
USC00411000        4846S
USC00411007        6920R
USC00411013        6798R
USC00411017        6022S
USC00411033        4432S
USC00411042        6135R
USC00411048        6734S
USC00411063        5696R
USC00411128        5291C
USC00411138        6114R
USC00411246        5946R
USC00411250        6265S
USC00411267        4398Q
USC00411337        7523R
USC00411348        5622R
USC00411398        6379R
USC00411412        4763R
USC00411416        6682S
USC00411429        6514S
USC00411430        4726R
USC00411486        7466R
USC00411492        6544R
USC00411500        6193R
USC00411524        7508S
USC00411528        7697R
USC00411541        6632Q
USC00411578        6280C
USC00411596        6251R
USC00411649        4386R
USC00411651        8002R
USC00411663        7539S
USC00411671        6981Q
USC00411694        5332R
USC00411715        5090S
USC00411720        7343R
USC00411772        5626S
USC00411778        4535R
USC00411800        6164C
USC00411810        6504S
USC00411870        6572R
USC00411875        6213S
USC00411880        7221Q
USC00411903        5807R
USC00411911        7121R
USC00411934        6246R
USC00411956        6837R
USC00411974        5602R
USC00411995        5736R
USC00412011        7923Q
USC00412012        5324R
USC00412013        7984Q
USC00412019        6255S
USC00412082        6140R
USC00412114        6441R
USC00412121        5147S
USC00412125        7346Q
USC00412160        7896S
USC00412173        7205S
USC00412225        6291R
USC00412235        4082R
USC00412238        4229Q
USC00412266        7018S
USC00412334        5685Q
USC00412352        5730R
USC00412354        5499S
USC00412361        7135R
USC00412394        5648R
USC00412404        6078S
USC00412408        5195R
USC00412458        7402R
USC00412464        4455S
USC00412585        6492R
USC00412590        6449R
USC00412593        6004Q
USC00412598        5772R
USC00412617        4437R
USC00412677        6045R
USC00412679        7464R
USC00412715        5718R
USC00412741        5912Q
USC00412758        8273Q
USC00412786        7326Q
USC00412793        5918Q
USC00412794        5013R
USC00412809        5769Q
USC00412816        5807Q
USC00412820        6855S
USC00412902        5684R
USC00412906        7619R
USC00412950        7984Q
USC00413005        6135S
USC00413047        6178R
USC00413060        8169S
USC00413063        7643R
USC00413133        6125R
USC00413183        7016R
USC00413201        7089S
USC00413214        4962S
USC00413225        4634R
USC00413257        6083R
USC00413262        5150R
USC00413266        5776R
USC00413280        6226R
USC00413285        6268R
USC00413289        6146Q
USC00413299        7276R
USC00413321        6630R
USC00413329        6189S
USC00413340        7505S
USC00413341        7492R
USC00413368        4492S
USC00413411        6040R
USC00413420        5674R
USC00413445        5622R
USC00413485        6119R
USC00413507        6470S
USC00413546        5817R
USC00413591        5934R
USC00413614        6047R
USC00413618        7413S
USC00413622        6937S
USC00413668        5848S
USC00413675        6010Q
USC00413680        6233R
USC00413686        6582R
USC00413691        6053R
USC00413734        6257S
USC00413778        6213R
USC00413787        4477S
USC00413828        5589S
USC00413873        7117S
USC00413877        6063R
USC00413943        8318S
USC00413972        4547R
USC00413979        4219Q
USC00413992        5733S
USC00414058        7794S
USC00414077        6302Q
USC00414081        6052S
USC00414093        5729R
USC00414098        4579S
USC00414137        5978S
USC00414182        6330S
USC00414202        5823Q
USC00414254        7073Q
USC00414278        5758R
USC00414326        7509R
USC00414328        6876R
USC00414333        6986R
USC00414348        6791R
USC00414375        5883R
USC00414382        6641S
USC00414483        6024R
USC00414517        5726R
USC00414525        6298R
USC00414570        5504S
USC00414577        5950R
USC00414597        6017Q
USC00414605        6500S
USC00414670        6132R
USC00414696        7198R
USC00414705        6054S
USC00414710        5971Q
USC00414770        5241R
USC00414775        5928Q
USC00414782        6234S
USC00414792        6317R
USC00414903        6887S
USC00414911        8430R
USC00414931        5942S
USC00414950        7339S
USC00414967        5682R
USC00414974        5879R
USC00414976        5820R
USC00414979        6086R
USC00414980        5864R
USC00414982        5809S
USC00415013        5234S
USC00415018        6443R
USC00415048        7243S
USC00415060        8155S
USC00415094        6154R
USC00415120        5867Q
USC00415183        5000S
USC00415193        6590S
USC00415196        6961R
USC00415247        4644S
USC00415265        4994S
USC00415271        6873S
USC00415272        6662S
USC00415341        6207R
USC00415344        6154Q
USC00415415        6108R
USC00415429        6755S
USC00415435        6660Q
USC00415454        7309R
USC00415477        6568S
USC00415579        5520R
USC00415596        4908R
USC00415611        6507S
USC00415618        6063S
USC00415650        5974R
USC00415658        5428S
USC00415659        7179S
USC00415661        7541R
USC00415701        8413R
USC00415707        6403R
USC00415721        8223S
USC00415742        6381R
USC00415757        6172S
USC00415766        5412R
USC00415770        4985S
USC00415821        5299S
USC00415822        5837S
USC00415836        8063Q
USC00415852        5736Q
USC00415869        6289R
USC00415875        4566R
USC00415888        5844R
USC00415891        6261S
USC00415954        6107Q
USC00415956        5858R
USC00415972        8428R
USC00415999        6067R
USC00416074        4949S
USC00416104        4521S
USC00416108        5786S
USC00416119        5650S
USC00416135        4631S
USC00416137        4832S
USC00416146        5895R
USC00416177        6279R
USC00416210        6256R
USC00416276        6702R
USC00416286        7236R
USC00416368        7004R
USC00416499        6093R
USC00416502        6187Q
USC00416636        5764S
USC00416644        4543R
USC00416680        6564R
USC00416733        6187Q
USC00416734        6134R
USC00416739        7396Q
USC00416740        5694R
USC00416742        5658R
USC00416747        6122S
USC00416776        4548S
USC00416780        6675R
USC00416781        6623R
USC00416785        4419S
USC00416792        6313S
USC00416794        5988S
USC00416879        6589S
USC00416892        6174R
USC00416893        5984Q
USC00416932        5917S
USC00416950        4328S
USC00416959        6761R
USC00417020        7153R
USC00417028        5949R
USC00417044        4684R
USC00417066        6000Q
USC00417074        5110R
USC00417079        4871C
USC00417081        4726Q
USC00417111        7222R
USC00417140        7603R
USC00417170        8154R
USC00417179        8479S
USC00417183        7560Q
USC00417184        8294R
USC00417186        7660R
USC00417206        5681R
USC00417215        7277S
